"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"197","212","SPEI",1993-05-30,"HMS",2,65.5,45.8,NA,NA,NA,NA,NA,"1993"
"198","212","SPEI",1993-05-30,"HMS",3,66.1,45.2,NA,NA,NA,NA,NA,"1993"
"199","212","SPEI",1993-05-30,"HMS",4,64.5,45.1,NA,NA,NA,NA,NA,"1993"
"200","212","SPEI",1993-05-30,"HMS",5,65.3,44.5,NA,NA,NA,NA,NA,"1993"
"201","213","SPEI",1993-05-31,"HMS",1,65.5,45.5,NA,NA,NA,NA,NA,"1993"
"202","213","SPEI",1993-05-31,"HMS",2,66,45.5,NA,NA,NA,NA,NA,"1993"
"203","213","SPEI",1993-05-31,"HMS",3,65.3,45.7,NA,NA,NA,NA,NA,"1993"
"204","213","SPEI",1993-05-31,"HMS",4,66.8,45.3,NA,NA,NA,NA,NA,"1993"
"205","213","SPEI",1993-05-31,"HMS",5,62.9,45.4,NA,NA,NA,NA,NA,"1993"
"206","214","SPEI",1993-06-01,"HMS",1,70.9,46,NA,NA,NA,NA,NA,"1993"
"207","214","SPEI",1993-06-01,"HMS",2,68.9,45.7,NA,NA,NA,NA,NA,"1993"
"208","214","SPEI",1993-06-01,"HMS",3,71.8,45.4,NA,NA,NA,NA,NA,"1993"
"209","214","SPEI",1993-06-01,"HMS",4,67.8,44.2,NA,NA,NA,NA,NA,"1993"
"210","214","SPEI",1993-06-01,"HMS",5,68.5,46.7,NA,NA,NA,NA,NA,"1993"
"211","216","SPEI",1993-06-01,"HMS",1,68.7,42.8,NA,NA,NA,NA,NA,"1993"
"212","216","SPEI",1993-06-01,"HMS",2,66,43.1,NA,NA,NA,NA,NA,"1993"
"213","216","SPEI",1993-06-01,"HMS",3,66.7,43.7,NA,NA,NA,NA,NA,"1993"
"214","216","SPEI",1993-06-01,"HMS",4,64.5,43,NA,NA,NA,NA,NA,"1993"
"215","216","SPEI",1993-06-01,"HMS",5,68.4,43.5,NA,NA,NA,NA,NA,"1993"
"216","219","SPEI",1993-06-01,"HMS",1,66.8,46.5,NA,NA,NA,NA,NA,"1993"
"217","219","SPEI",1993-06-01,"HMS",2,66.5,46.2,NA,NA,NA,NA,NA,"1993"
"218","219","SPEI",1993-06-01,"HMS",3,65.1,45.7,NA,NA,NA,NA,NA,"1993"
"219","220","SPEI",1993-06-02,"HMS",1,65.6,42.4,NA,NA,NA,NA,NA,"1993"
"220","220","SPEI",1993-06-02,"HMS",2,65.1,42.7,NA,NA,NA,NA,NA,"1993"
"221","220","SPEI",1993-06-02,"HMS",3,64.3,42.3,NA,NA,NA,NA,NA,"1993"
"222","220","SPEI",1993-06-02,"HMS",4,64.5,42.6,NA,NA,NA,NA,NA,"1993"
"223","220","SPEI",1993-06-02,"HMS",5,65.4,42.5,NA,NA,NA,NA,NA,"1993"
"224","220","SPEI",1993-06-02,"HMS",6,64.8,42.8,NA,NA,NA,NA,NA,"1993"
"225","220","SPEI",1993-06-02,"HMS",7,66.3,43.2,NA,NA,NA,NA,NA,"1993"
"226","220","SPEI",1993-06-02,"HMS",8,63.8,42.7,NA,NA,NA,NA,NA,"1993"
"227","224","SPEI",1993-06-02,"HMS",1,64.5,45.5,NA,NA,NA,NA,NA,"1993"
"228","224","SPEI",1993-06-02,"HMS",2,64.3,45.5,NA,NA,NA,NA,NA,"1993"
"229","224","SPEI",1993-06-02,"HMS",3,64,44,NA,NA,NA,NA,NA,"1993"
"230","224","SPEI",1993-06-02,"HMS",4,65.5,45.3,NA,NA,NA,NA,NA,"1993"
"231","224","SPEI",1993-06-02,"HMS",5,65.6,44.9,NA,NA,NA,NA,NA,"1993"
"232","225","SPEI",1993-06-03,"HMS",1,71.3,45,NA,NA,NA,NA,NA,"1993"
"233","225","SPEI",1993-06-03,"HMS",2,71.8,45.5,NA,NA,NA,NA,NA,"1993"
"234","225","SPEI",1993-06-03,"HMS",3,72,45,NA,NA,NA,NA,NA,"1993"
"235","225","SPEI",1993-06-03,"HMS",4,70.7,45.7,NA,NA,NA,NA,NA,"1993"
"236","225","SPEI",1993-06-13,"TLM",5,67.4,45.8,NA,NA,NA,NA,NA,"1993"
"237","225","SPEI",1993-06-13,"TLM",6,68.1,44.2,NA,NA,NA,NA,NA,"1993"
"238","226","SPEI",1993-06-03,"HMS",1,63.3,43,NA,NA,NA,NA,NA,"1993"
"239","226","SPEI",1993-06-03,"HMS",2,64.5,45.5,NA,NA,NA,NA,NA,"1993"
"240","226","SPEI",1993-06-03,"HMS",3,67.1,45.9,NA,NA,NA,NA,NA,"1993"
"241","226","SPEI",1993-06-03,"HMS",4,66.7,46,NA,NA,NA,NA,NA,"1993"
"242","226","SPEI",1993-06-03,"HMS",5,64.5,45.5,NA,NA,NA,NA,NA,"1993"
"243","226","SPEI",1993-06-03,"HMS",6,65.6,45.1,NA,NA,NA,NA,NA,"1993"
"244","227","SPEI",1993-06-03,"HMS",1,69.5,44.4,NA,NA,NA,NA,NA,"1993"
"245","227","SPEI",1993-06-03,"HMS",2,65.8,46.5,NA,NA,NA,NA,NA,"1993"
"246","227","SPEI",1993-06-03,"HMS",3,64,44.8,NA,NA,NA,NA,NA,"1993"
"247","227","SPEI",1993-06-03,"HMS",4,66.3,44.2,NA,NA,NA,NA,NA,"1993"
"248","229","SPEI",1993-06-04,"HMS",1,67,46.5,NA,NA,NA,NA,NA,"1993"
"249","229","SPEI",1993-06-04,"HMS",2,67.5,46.4,NA,NA,NA,NA,NA,"1993"
"250","229","SPEI",1993-06-04,"HMS",3,67.5,46.6,NA,NA,NA,NA,NA,"1993"
"251","229","SPEI",1993-06-04,"HMS",4,68.8,45.1,NA,NA,NA,NA,NA,"1993"
"252","229","SPEI",1993-06-04,"HMS",5,69.2,46.7,NA,NA,NA,NA,NA,"1993"
"253","229","SPEI",1993-06-04,"HMS",6,69.7,44.5,NA,NA,NA,NA,NA,"1993"
"254","230","SPEI",1993-06-05,"HMS",1,66.4,44.7,NA,NA,NA,NA,NA,"1993"
